Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Other,Kathmandu,4200000,0,0,3.0,0,South,2074.0,3080.25,13.0, Blacktopped,3080.25,1
Other,Kathmandu,6000000,0,0,3.0,1,North,2074.0,8317.75,26.0, Blacktopped,8317.75,1
Other,Kathmandu,8000000,0,0,3.0,0,East,2074.0,5476.0,36.08924, Blacktopped,5476.0,4
Other,Kathmandu,4200000,0,0,3.0,0,West,2074.0,8898.5,20.0, Blacktopped,8898.5,3
Samakhusi,Kathmandu,750000,0,0,3.0,0,East,2074.0,1369.0,0.0,None,1369.0,0
Other,Kathmandu,81000000,6,6,3.0,6,East,2072.0,7187.25,15.0, Gravelled,7187.25,15
Other,Kathmandu,55000000,5,5,2.0,6,North,2069.0,4107.0,22.0, Blacktopped,4107.0,10
Other,Kathmandu,13000000,6,2,3.0,1,West,2001.0,1026.75,23.0, Blacktopped,1026.75,5
Other,Kathmandu,17500000,5,4,3.0,1,North,2074.0,1112.3125,15.0,None,1969.43,16
Other,Kathmandu,1450000,0,0,3.0,0,South East,2074.0,1540.125,13.0,None,1540.125,0
Other,Kathmandu,65000000,6,5,2.0,1,East,2074.0,4107.0,12.0, Blacktopped,4107.0,16
Other,Kathmandu,9500000,3,1,3.0,1,South,2076.0,1026.75,13.0, Gravelled,710511.0,0
Other,Kathmandu,9000000,6,3,3.0,1,East,2064.0,5700.5,10.0, Paved,5700.5,10
Hattigauda,Kathmandu,2900000,0,0,3.0,0,East,2074.0,4791.5,20.0, Gravelled,4791.5,0
Other,Kathmandu,4100000,0,0,3.0,0,South East,2074.0,5476.0,18.0, Blacktopped,5476.0,0
Other,Kathmandu,31000000,7,3,3.0,1,South,2014.0,1369.0,10.0, Blacktopped,1369.0,12
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,East,2074.0,21904.0,20.0, Blacktopped,21904.0,0
Budhanilkantha,Kathmandu,65000000,5,4,2.0,1,East,2076.0,2738.0,20.0, Blacktopped,2738.0,25
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,East,2074.0,3422.5,16.0, Blacktopped,3422.5,0
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,South,2074.0,2738.0,15.0, Blacktopped,2738.0,0
Budhanilkantha,Kathmandu,37000000,6,6,3.0,2,East,2075.0,2053.5,16.0, Blacktopped,2053.5,24
Budhanilkantha,Kathmandu,19000000,4,3,2.0,1,East,2076.0,1026.75,15.0, Blacktopped,1026.75,16
Budhanilkantha,Kathmandu,4500000,0,0,3.0,0,East,2074.0,3422.5,25.0, Blacktopped,3422.5,0
Budhanilkantha,Kathmandu,3400000,0,0,3.0,0,East,2074.0,2053.5,16.0, Blacktopped,2053.5,0
Dhapasi,Kathmandu,65000000,5,6,3.0,3,South East,2076.0,2738.0,22.0, Blacktopped,2738.0,10
Sitapaila,Kathmandu,24000000,8,5,3.0,1,West,2019.0,1369.0,14.0, Paved,1369.0,6
Jorpati,Kathmandu,24000000,4,4,2.0,1,South,2010.0,11964.75,18.0, Blacktopped,11964.75,7
Other,Kathmandu,43500000,7,3,3.0,1,West,2074.0,13330.75,13.0, Blacktopped,13330.75,10
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,North East,2074.0,3422.5,15.0, Blacktopped,3422.5,0
Basundhara,Kathmandu,22500000,4,3,2.0,1,East,2076.0,855.625,16.0, Blacktopped,855.625,17
Golfutar,Kathmandu,45000000,0,4,3.0,2,East,2074.0,2053.5,20.0, Blacktopped,2053.5,20
Samakhusi,Kathmandu,85000000,5,6,3.0,4,East,2069.0,4449.25,20.0, Blacktopped,4449.25,1
Baluwatar,Kathmandu,7500000,0,0,3.0,0,East,2074.0,10952.0,15.0, Blacktopped,10952.0,0
Samakhusi,Kathmandu,61000000,12,8,4.0,4,East,2069.0,3764.75,13.0, Blacktopped,3764.75,4
Golfutar,Kathmandu,45000000,6,6,3.0,2,East,2075.0,2053.5,15.0, Blacktopped,2053.5,6
Chabahil,Kathmandu,49500000,5,5,3.0,2,East,2073.0,1540.125,14.0, Blacktopped,1540.125,1
Other,Kathmandu,24000000,6,6,3.0,1,North East,2076.0,1197.875,15.0, Blacktopped,1197.875,1
Basundhara,Kathmandu,45000000,6,6,3.0,4,South West,2072.0,2738.0,20.0, Blacktopped,2738.0,2
Basundhara,Kathmandu,60000000,7,7,3.0,4,South,2066.0,3422.5,15.0, Blacktopped,3422.5,2
Basundhara,Kathmandu,22500000,5,5,3.0,1,East,2075.0,855.625,14.0, Paved,855.625,1
Dhapasi,Kathmandu,69000000,5,5,3.0,0,South,2074.0,4107.0,22.0, Blacktopped,4107.0,24
Sitapaila,Kathmandu,68000000,0,0,3.0,0,East,2074.0,2738.0,30.0, Blacktopped,2738.0,0
Budhanilkantha,Kathmandu,3700000,0,0,3.0,0,East,2074.0,6160.5,16.0, Blacktopped,6160.5,0
