,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
285, Sitapaila,Kathmandu,4,4,1,East,7800.0,112942.5,13.0, Blacktopped
286, Imadol,Lalitpur,7,6,3,North East,304.0,162568.75,13.0, Blacktopped
287, Gatthaghar,Bhaktapur,0,0,0,East,1900.0,1026.75,16.0,
288, Imadol,Lalitpur,4,5,1,South West,621.0,1369.0,20.0, Gravelled
289, Koteshwor,Kathmandu,0,4,1,East,276.0,1369.0,98.4252, Blacktopped
290, Changunarayan,Bhaktapur,0,0,0,East,393.0,417545.0,1640.42,
291, Suryabinayak,Bhaktapur,0,0,0,East,747.0,5612900.0,300.0,
292, Dukuchhap,Lalitpur,0,0,0,East,305.0,178323202.0,500.0,
293, Godawari,Lalitpur,0,0,0,East,191.0,169810760.0,1640.42,
294, Baghdol,Lalitpur,2,1,1,South West,220.0,547600.0,10.0,
295, Lazimpat,Kathmandu,0,0,6,South,267.0,5476000.0,14.0,
296, Mhepi,Kathmandu,6,5,8,South,167.0,5476000.0,20.0,
297, Budhanilkantha,Kathmandu,0,0,0,West,1400.0,136900.0,12.0, Gravelled
298, Teku,Kathmandu,0,0,0,East,118.0,725570.0,984.252,
299, Kapan,Kathmandu,6,3,2,South,639.0,1369.0,13.0, Concrete
300, Bhaisepati,Lalitpur,4,4,1,East,209.0,177970.0,20.0, Blacktopped
301, Swayambhu,Kathmandu,3,2,1,East,542.0,3422.5,0.0,
302, Bhaisepati,Lalitpur,4,4,1,West,380.0,205350.0,20.0, Blacktopped
303, Gairidhara,Kathmandu,4,5,4,East,786.0,171125.0,14.0, Paved
304, Bhaisepati,Lalitpur,4,4,1,West,193.0,174547.5,20.0, Blacktopped
305, Gokarneshwor,Kathmandu,0,0,0,West,433.0,7529.5,28.0,
306, Budhanilkantha,Kathmandu,5,6,3,North East,559.0,2053.5,13.0, Paved
307, Sanobharyang,Kathmandu,6,5,1,East,274.0,10609.75,14.0, Gravelled
308, Imadol,Lalitpur,3,2,1,North East,687.0,2738.0,10.0, Blacktopped
309, Hetauda,Makwanpur,4,2,1,North,183.0,4009.5,13.12336, Paved
310, Jhamsikhel,Lalitpur,2,2,2,East,890.0,1369.0,10.0, Soil Stabilized
311, Jhamsikhel,Lalitpur,2,2,2,East,158.0,1369.0,10.0, Soil Stabilized
312, Lele,Lalitpur,0,0,0,East,240.0,141007.0,0.0, Paved
313, Swayambhu,Kathmandu,6,5,1,East,200.0,1026.75,13.0, Paved
314, Golfutar,Kathmandu,6,6,4,East,155.0,6502.75,13.0, Blacktopped
315, Bhaisepati,Lalitpur,4,4,1,North East,3100.0,140322.5,40.0, Blacktopped
316, Tebahal,Kathmandu,0,1,0,West,111.0,1369.0,14.0, Blacktopped
317, kadaghari,Kathmandu,2,1,2,East,256.0,10952.0,10.0, Gravelled
318, Budhanilkantha,Kathmandu,5,5,1,East,126.0,1369.0,13.0, Blacktopped
319, Satungal,Kathmandu,11,9,1,North,7600.0,171125.0,13.0, Blacktopped
320, Chapali,Kathmandu,7,8,1,South East,205.0,1711.25,13.0, Gravelled
321, Dhapakhel,Lalitpur,3,4,1,West,4200.0,75295.0,12.0, Blacktopped
322, Hariyali Samaaj,Kathmandu,1,1,2,East,699.0,42781.25,10.0, Gravelled
323, Pasikot,Kathmandu,5,5,1,North East,870.0,1026.75,14.0, Gravelled
324, Budhanilkantha,Kathmandu,6,6,2,North East,280.0,18823.75,30.0, Blacktopped
